lawyer_id,lawyer_type,contract_id,contract_type,dimension,dimension_label,weight,comment
L3,小所,demo-sales-goods-2026,销售合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L3/销售合同/策略可执行 (D3) · 20% - 评审完整 (评分 8/10)
L3,小所,demo-sales-goods-2026,销售合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L3/销售合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 9/10)
L3,小所,demo-sales-goods-2026,销售合同,ui_flow,UI 流程 (D5) · 10%,0.1,L3/销售合同/UI 流程 (D5) · 10% - 评审完整 (评分 5/10)
L4,中所,demo-rental-beijing-2026,房屋租赁,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L4/房屋租赁/致命准确率 (D1) · 30% - 评审完整 (评分 8/10)
L4,中所,demo-rental-beijing-2026,房屋租赁,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L4/房屋租赁/建议实用性 (D2) · 25% - 评审完整 (评分 9/10)
L4,中所,demo-rental-beijing-2026,房屋租赁,strategy_executability,策略可执行 (D3) · 20%,0.2,L4/房屋租赁/策略可执行 (D3) · 20% - 评审完整 (评分 5/10)
L4,中所,demo-rental-beijing-2026,房屋租赁,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L4/房屋租赁/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 6/10)
L4,中所,demo-rental-beijing-2026,房屋租赁,ui_flow,UI 流程 (D5) · 10%,0.1,L4/房屋租赁/UI 流程 (D5) · 10% - 评审完整 (评分 7/10)
L4,中所,demo-loan-shanghai-2026,借款合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,"L4 - 借款合同批量审查 OK, 100+ 份 1h 完成"
L4,中所,demo-loan-shanghai-2026,借款合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L4/借款合同/建议实用性 (D2) · 25% - 评审完整 (评分 5/10)
L4,中所,demo-loan-shanghai-2026,借款合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L4/借款合同/策略可执行 (D3) · 20% - 评审完整 (评分 6/10)
L4,中所,demo-loan-shanghai-2026,借款合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L4/借款合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 7/10)
L4,中所,demo-loan-shanghai-2026,借款合同,ui_flow,UI 流程 (D5) · 10%,0.1,L4/借款合同/UI 流程 (D5) · 10% - 评审完整 (评分 8/10)
L4,中所,demo-labor-fulltime-2026,劳动合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L4/劳动合同/致命准确率 (D1) · 30% - 评审完整 (评分 5/10)
L4,中所,demo-labor-fulltime-2026,劳动合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L4/劳动合同/建议实用性 (D2) · 25% - 评审完整 (评分 6/10)
L4,中所,demo-labor-fulltime-2026,劳动合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L4/劳动合同/策略可执行 (D3) · 20% - 评审完整 (评分 7/10)
L4,中所,demo-labor-fulltime-2026,劳动合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L4/劳动合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 8/10)
L4,中所,demo-labor-fulltime-2026,劳动合同,ui_flow,UI 流程 (D5) · 10%,0.1,L4/劳动合同/UI 流程 (D5) · 10% - 评审完整 (评分 9/10)
L4,中所,demo-service-tech-2026,服务合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L4/服务合同/致命准确率 (D1) · 30% - 评审完整 (评分 6/10)
L4,中所,demo-service-tech-2026,服务合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L4/服务合同/建议实用性 (D2) · 25% - 评审完整 (评分 7/10)
L4,中所,demo-service-tech-2026,服务合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L4/服务合同/策略可执行 (D3) · 20% - 评审完整 (评分 8/10)
L4,中所,demo-service-tech-2026,服务合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L4/服务合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 9/10)
L4,中所,demo-service-tech-2026,服务合同,ui_flow,UI 流程 (D5) · 10%,0.1,L4/服务合同/UI 流程 (D5) · 10% - 评审完整 (评分 5/10)
L4,中所,demo-sales-goods-2026,销售合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L4/销售合同/致命准确率 (D1) · 30% - 评审完整 (评分 7/10)
L4,中所,demo-sales-goods-2026,销售合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L4/销售合同/建议实用性 (D2) · 25% - 评审完整 (评分 8/10)
L4,中所,demo-sales-goods-2026,销售合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L4/销售合同/策略可执行 (D3) · 20% - 评审完整 (评分 9/10)
L4,中所,demo-sales-goods-2026,销售合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L4/销售合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 5/10)
L4,中所,demo-sales-goods-2026,销售合同,ui_flow,UI 流程 (D5) · 10%,0.1,L4 - UI 流程: 5 步内完成审查 ✓ 但致命条款 > 3 自动折叠体验好
L5,企业法务,demo-rental-beijing-2026,房屋租赁,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L5/房屋租赁/致命准确率 (D1) · 30% - 评审完整 (评分 9/10)
L5,企业法务,demo-rental-beijing-2026,房屋租赁,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L5/房屋租赁/建议实用性 (D2) · 25% - 评审完整 (评分 5/10)
L5,企业法务,demo-rental-beijing-2026,房屋租赁,strategy_executability,策略可执行 (D3) · 20%,0.2,L5/房屋租赁/策略可执行 (D3) · 20% - 评审完整 (评分 6/10)
L5,企业法务,demo-rental-beijing-2026,房屋租赁,neutrality,中立性 (D4) · 15% (硬门槛),0.15,"L5 - 中立性: 私有化部署后输出 0 违规, 法条引用准确"
L5,企业法务,demo-rental-beijing-2026,房屋租赁,ui_flow,UI 流程 (D5) · 10%,0.1,L5/房屋租赁/UI 流程 (D5) · 10% - 评审完整 (评分 8/10)
L5,企业法务,demo-loan-shanghai-2026,借款合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L5/借款合同/致命准确率 (D1) · 30% - 评审完整 (评分 5/10)
L5,企业法务,demo-loan-shanghai-2026,借款合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L5/借款合同/建议实用性 (D2) · 25% - 评审完整 (评分 6/10)
L5,企业法务,demo-loan-shanghai-2026,借款合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L5/借款合同/策略可执行 (D3) · 20% - 评审完整 (评分 7/10)
L5,企业法务,demo-loan-shanghai-2026,借款合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L5/借款合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 8/10)
L5,企业法务,demo-loan-shanghai-2026,借款合同,ui_flow,UI 流程 (D5) · 10%,0.1,L5/借款合同/UI 流程 (D5) · 10% - 评审完整 (评分 9/10)
L5,企业法务,demo-labor-fulltime-2026,劳动合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L5/劳动合同/致命准确率 (D1) · 30% - 评审完整 (评分 6/10)
L5,企业法务,demo-labor-fulltime-2026,劳动合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L5/劳动合同/建议实用性 (D2) · 25% - 评审完整 (评分 7/10)
L5,企业法务,demo-labor-fulltime-2026,劳动合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L5/劳动合同/策略可执行 (D3) · 20% - 评审完整 (评分 8/10)
L5,企业法务,demo-labor-fulltime-2026,劳动合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L5/劳动合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 9/10)
L5,企业法务,demo-labor-fulltime-2026,劳动合同,ui_flow,UI 流程 (D5) · 10%,0.1,L5/劳动合同/UI 流程 (D5) · 10% - 评审完整 (评分 5/10)
L5,企业法务,demo-service-tech-2026,服务合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L5/服务合同/致命准确率 (D1) · 30% - 评审完整 (评分 7/10)
L5,企业法务,demo-service-tech-2026,服务合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L5/服务合同/建议实用性 (D2) · 25% - 评审完整 (评分 8/10)
L5,企业法务,demo-service-tech-2026,服务合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L5/服务合同/策略可执行 (D3) · 20% - 评审完整 (评分 9/10)
L5,企业法务,demo-service-tech-2026,服务合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L5/服务合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 5/10)
L5,企业法务,demo-service-tech-2026,服务合同,ui_flow,UI 流程 (D5) · 10%,0.1,L5/服务合同/UI 流程 (D5) · 10% - 评审完整 (评分 6/10)
L5,企业法务,demo-sales-goods-2026,销售合同,fatal_accuracy,致命准确率 (D1) · 30%,0.3,L5/销售合同/致命准确率 (D1) · 30% - 评审完整 (评分 8/10)
L5,企业法务,demo-sales-goods-2026,销售合同,suggestion_practicality,建议实用性 (D2) · 25%,0.25,L5/销售合同/建议实用性 (D2) · 25% - 评审完整 (评分 9/10)
L5,企业法务,demo-sales-goods-2026,销售合同,strategy_executability,策略可执行 (D3) · 20%,0.2,L5/销售合同/策略可执行 (D3) · 20% - 评审完整 (评分 5/10)
L5,企业法务,demo-sales-goods-2026,销售合同,neutrality,中立性 (D4) · 15% (硬门槛),0.15,L5/销售合同/中立性 (D4) · 15% (硬门槛) - 评审完整 (评分 6/10)
L5,企业法务,demo-sales-goods-2026,销售合同,ui_flow,UI 流程 (D5) · 10%,0.1,L5/销售合同/UI 流程 (D5) · 10% - 评审完整 (评分 7/10)
